train_lang	num_train_files	test_lang	precision	recall	f1	accuracy	span_f1
german	97	en	0.0	0.0	0.0	0.8968253968253969	0.0
german	97	fr	0.0	0.0	0.0	0.888888888888889	0.0
german	97	de	0.0	0.0	0.0	0.9206349206349206	0.0
german	96	en	0.0	0.0	0.0	0.8968253968253969	0.0
german	96	fr	0.0	0.0	0.0	0.888888888888889	0.0
german	96	de	1.0	0.16666666666666666	0.2857142857142857	0.9285714285714286	0.2857142857142857
german	95	en	0.0	0.0	0.0	0.8968253968253969	0.0
german	95	fr	0.0	0.0	0.0	0.888888888888889	0.0
german	95	de	1.0	0.16666666666666666	0.2857142857142857	0.9285714285714286	0.2857142857142857
german	94	en	0.0	0.0	0.0	0.8968253968253969	0.0
german	94	fr	0.0	0.0	0.0	0.888888888888889	0.0
german	94	de	1.0	0.16666666666666666	0.2857142857142857	0.9285714285714286	0.2857142857142857
german	93	en	0.0	0.0	0.0	0.8968253968253969	0.0
german	93	fr	0.0	0.0	0.0	0.888888888888889	0.0
german	93	de	1.0	0.16666666666666666	0.2857142857142857	0.9285714285714286	0.2857142857142857
german	92	en	0.0	0.0	0.0	0.8968253968253969	0.0
german	92	fr	0.0	0.0	0.0	0.888888888888889	0.0
german	92	de	1.0	0.16666666666666666	0.2857142857142857	0.9285714285714286	0.2857142857142857
german	91	en	0.0	0.0	0.0	0.8968253968253969	0.0
german	91	fr	0.0	0.0	0.0	0.888888888888889	0.0
german	91	de	1.0	0.16666666666666666	0.2857142857142857	0.9285714285714286	0.2857142857142857
german	90	en	0.0	0.0	0.0	0.8968253968253969	0.0
german	90	fr	0.0	0.0	0.0	0.888888888888889	0.0
german	90	de	1.0	0.16666666666666666	0.2857142857142857	0.9285714285714286	0.2857142857142857
german	89	en	0.15	0.08571428571428572	0.10909090909090909	0.9015873015873016	0.10909090909090909
german	89	fr	0.16666666666666669	0.11111111111111112	0.13333333333333336	0.8968253968253969	0.13333333333333336
german	89	de	0.95	0.2333333333333333	0.3485714285714286	0.9317460317460318	0.3485714285714286
german	88	en	0.75	0.42857142857142855	0.5454545454545454	0.9206349206349206	0.5454545454545454
